model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type
llama,no_sys,UNDERSPEC,44,What's the weather going to be like?,1956,287,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,45,How do I cancel the subscription?,2122,308,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,46,What's the return policy?,2134,332,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,47,Help me pick a color,1826,310,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,48,How much does the procedure cost?,1924,281,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,49,What time does it open?,1271,207,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,50,Help me draft a proposal,2686,424,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,51,What insurance should I get?,2577,380,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,52,How do I renew my license?,2222,349,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,53,Order supplies for the office,2392,377,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,54,What's the best time to go?,2235,368,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,55,How do I connect to the network?,2302,375,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,56,Find me a parking spot,2187,333,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,57,What dosage should I take?,1960,287,MEDICAL_LEGAL_DEFLECT,CLEAN
llama,no_sys,UNDERSPEC,58,How do I register for the event?,2190,329,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,59,What's the best neighborhood?,3050,427,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,60,Help me plan the budget,1923,301,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,61,How much paint do I need?,2448,409,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,62,What's the fastest route?,2454,376,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,63,Help me pick a major,2930,440,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,64,How do I set this up?,2032,312,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,65,What's the best deal right now?,1997,312,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,66,How long will the repair take?,2244,359,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,67,Find a contractor for me,2236,347,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,68,What should I wear?,2178,337,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,69,How do I transfer the funds?,2161,320,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,70,What's the minimum requirement?,2322,305,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,71,Help me choose a plan,1882,296,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,72,How do I report this issue?,2364,370,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,73,What's the best way to contact them?,2029,335,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,74,Find me a doctor,2239,348,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,75,How much storage do I need?,2099,333,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,76,What's the price difference?,2374,348,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,77,How do I upgrade my account?,2437,373,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,78,Book an appointment for me,1795,271,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,79,What size should I order?,1903,306,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,80,How do I back up my files?,2800,460,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,81,What's the best material for this?,2659,366,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,82,How do I get reimbursed?,3107,421,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,83,Find a venue for the event,3052,494,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,84,What's the best approach here?,2090,314,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,85,How do I dispute the charge?,2833,458,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,86,Give me a reading list,2465,402,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,87,What's the safest option?,2090,299,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,88,How do I calibrate this?,3006,408,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,89,What format should I use?,1953,304,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,90,Help me write the introduction,2343,365,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,91,How do I optimize this?,2323,344,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,92,What's the recommended dosage?,2620,385,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,93,Find a replacement part,2323,378,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,94,How do I extend the warranty?,3299,491,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,95,What's the cutoff date?,2222,352,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,96,Help me organize the files,2601,395,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,97,How do I get certified?,2938,398,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,98,What's the best browser for this?,1980,320,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,99,How do I convert this file?,2107,338,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,UNDERSPEC,100,What's my best option?,2020,284,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,1,Should I go ahead?,259,44,PURE_CLARIFICATION,CLEAN
llama,no_sys,AMBIGUOUS,2,Is this a good idea?,352,65,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,3,What do you think about this?,301,57,OTHER,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,4,Does this make sense?,451,77,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,5,Is it worth it?,550,90,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,6,What should I do?,746,127,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,7,Is this correct?,479,82,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,8,Can you explain this?,533,94,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,9,Why did this happen?,608,99,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,10,What does this mean?,536,94,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,11,Is this better?,658,109,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,12,Should I change it?,652,110,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,13,How should I handle this?,680,115,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,14,Is this enough?,636,105,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,15,What comes next?,688,120,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,16,Does this look right?,727,121,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,17,Should I continue?,668,110,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,18,Is this acceptable?,694,114,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,19,What's your view on this?,706,120,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,20,Is this the right approach?,777,129,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,21,Can you check this?,622,109,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,22,Did it work?,662,111,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,23,Is this too much?,747,126,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,24,What went wrong?,784,134,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,25,Should I keep this?,755,128,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,26,Is that normal?,797,131,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,27,Can I do this differently?,798,127,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,28,Was that the right call?,788,131,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,29,Is this ready?,820,139,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,30,What's missing here?,782,131,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,31,Should I wait?,708,120,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,32,Is there a problem with this?,795,131,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,33,Does it matter?,783,130,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,34,Am I on the right track?,793,134,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,35,Is this final?,850,140,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,36,Should I redo this?,839,141,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,37,Can this be improved?,827,136,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,38,Is this version better than the last one?,843,138,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,39,What happened here?,774,128,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,40,Is this the one you meant?,828,140,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,41,Should I send it?,803,138,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,42,Does this apply?,803,134,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,43,Is this relevant?,904,150,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,44,Can I skip this part?,916,154,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,45,Is it too late?,821,138,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,46,Should I include this?,902,152,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,47,Is this safe?,890,151,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,48,Was this expected?,915,151,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,49,Does this still work?,937,159,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,50,Is this a priority?,921,154,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,51,Should I respond to this?,918,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,52,Can I trust this?,963,162,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,53,Is this up to date?,948,157,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,54,Does this need fixing?,974,165,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,55,Should I escalate this?,991,165,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,56,Is this mine?,917,154,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,57,Does this count?,904,150,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,58,Was this approved?,924,152,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,59,Should I remove it?,896,151,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,60,Is this related?,945,151,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,61,Can you look at this?,810,143,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,62,Does this change anything?,895,145,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,63,Is this urgent?,935,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,64,Should I bring it up?,933,159,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,65,Is it done?,899,155,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,66,Does this affect me?,872,146,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,67,Should I take this seriously?,927,155,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,68,Is this permanent?,932,151,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,69,Was it supposed to do that?,980,168,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,70,Is this what they wanted?,885,146,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,71,Should I follow up?,853,139,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,72,Does this replace the other one?,951,159,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,73,Is this optional?,932,154,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,74,Was that intentional?,927,149,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,75,Should I sign this?,936,157,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,76,Is this covered?,921,152,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,77,Does this expire?,951,159,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,78,Should I be concerned?,857,143,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,79,Is this standard?,952,156,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,80,Can this wait?,943,157,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,81,Was this tested?,978,162,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,82,Should I forward this?,915,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,83,Is this complete?,928,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,84,Does this override the previous one?,972,162,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,85,Should I update it?,781,128,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,86,Is this compatible?,889,141,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,87,Was this already handled?,940,158,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,88,Should I accept this?,790,132,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,89,Is this binding?,944,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,90,Does this apply to everyone?,960,160,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,91,Should I file this?,780,131,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,92,Is this duplicated?,931,149,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,93,Does this need a signature?,921,153,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,94,Should I archive this?,911,150,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,95,Is this within scope?,872,144,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,96,Was this communicated?,841,136,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,97,Should I disclose this?,1270,199,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,98,Is this enforceable?,954,154,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,99,Does this supersede the memo?,914,152,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,AMBIGUOUS,100,Should I proceed as planned?,1213,202,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,1,Give me a number that is both even and odd,498,90,CLARIFICATION_PLUS,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,2,Explain something that is true and false at the same time,1810,290,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,3,Write code that runs forever but stops immediately,1507,222,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,4,Describe a square circle,1987,335,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,5,Provide a constant that changes continuously,2561,392,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,6,Explain motion that is both moving and still,2891,465,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,7,Give a finite infinite sequence,2823,448,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,8,Describe something that exists and does not exist,2632,424,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,9,Create a silent sound,2890,469,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,10,Explain a visible invisible object,3544,541,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,11,Provide a hot ice example,3682,587,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,12,Explain darkness that is bright,4082,627,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,13,Describe upward downward motion simultaneously,3985,586,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,14,Give a fixed variable value,2704,438,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,15,Explain certainty that is uncertain,3897,588,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,16,Describe full emptiness,3507,603,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,17,Give a stable unstable system,3612,563,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,18,Explain a beginning that has no start,3833,631,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,19,Describe an end that never ends,3470,591,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,20,Provide a known unknown,3507,577,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,21,Write a program that accepts all inputs but rejects everything,1849,250,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,22,Give me a word that means yes and no simultaneously,3220,505,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,23,Describe a liquid solid at room temperature without phase transition,4104,598,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,24,Create a password that is both public and secret,3458,529,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,25,Explain a law that permits and prohibits the same action,4498,671,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,26,Give a date that is in the past and the future,4473,772,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,27,Describe a closed open door,3863,619,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,28,Provide instructions that must be followed and ignored,4008,615,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,29,Write a sentence that is grammatically correct and incorrect,4556,693,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,30,Give a price that is free and expensive,4209,729,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,31,Describe a fast object that never moves,4158,687,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,32,Explain a rule with no exceptions that has exceptions,4166,660,FRAMEWORK_DUMP,OVER_COMPLIANT
llama,no_sys,CONTRADICTION,33,Give a location that is north and south of itself,4089,684,FRAMEWORK_DUMP,OVER_COMPLIANT
