model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type,finish_reason
gemini,no_sys,UNDERSPEC,43,Find me a tutor,171,33,CAPABILITY_DISCLAIMER,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,44,What's the weather going to be like?,302,53,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,45,How do I cancel the subscription?,305,56,CAPABILITY_DISCLAIMER,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,46,What's the return policy?,388,67,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,47,Help me pick a color,987,168,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,48,How much does the procedure cost?,2127,306,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,49,What time does it open?,346,61,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,50,Help me draft a proposal,190,32,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,51,What insurance should I get?,239,37,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,52,How do I renew my license?,555,84,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,53,Order supplies for the office,1086,177,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,54,What's the best time to go?,597,103,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,55,How do I connect to the network?,185,32,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,56,Find me a parking spot,1883,276,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,57,What dosage should I take?,832,124,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,58,How do I register for the event?,1587,265,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,59,What's the best neighborhood?,1293,185,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,60,Help me plan the budget,180,31,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,61,How much paint do I need?,470,77,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,62,What's the fastest route?,553,87,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,63,Help me pick a major,164,29,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,64,How do I set this up?,805,145,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,65,What's the best deal right now?,957,137,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,66,How long will the repair take?,970,175,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,67,Find a contractor for me,3952,555,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,68,What should I wear?,899,151,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,69,How do I transfer the funds?,855,135,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,70,What's the minimum requirement?,808,115,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,71,Help me choose a plan,168,32,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,72,How do I report this issue?,2583,390,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,73,What's the best way to contact them?,924,149,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,74,Find me a doctor,3652,529,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,75,How much storage do I need?,159,26,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,76,What's the price difference?,735,126,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,77,How do I upgrade my account?,1905,305,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,78,Book an appointment for me,1098,183,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,79,What size should I order?,1005,178,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,80,How do I back up my files?,164,31,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,81,What's the best material for this?,301,53,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,82,How do I get reimbursed?,3109,432,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,83,Find a venue for the event,1985,293,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,84,What's the best approach here?,1149,184,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,85,How do I dispute the charge?,4380,656,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,86,Give me a reading list,912,130,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,87,What's the safest option?,840,127,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,88,How do I calibrate this?,1003,163,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,89,What format should I use?,1181,201,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,90,Help me write the introduction,2388,370,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,91,How do I optimize this?,1817,268,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,92,What's the recommended dosage?,857,126,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,UNDERSPEC,93,Find a replacement part,3279,508,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,94,How do I extend the warranty?,3257,484,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,95,What's the cutoff date?,926,163,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,96,Help me organize the files,1858,287,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,97,How do I get certified?,206,30,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,UNDERSPEC,98,What's the best browser for this?,776,119,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,99,How do I convert this file?,1959,312,MEANTIME_HYBRID,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,UNDERSPEC,100,What's my best option?,885,148,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,1,Should I go ahead?,573,99,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,2,Is this a good idea?,645,114,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,3,What do you think about this?,621,101,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,4,Does this make sense?,390,71,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,5,Is it worth it?,898,151,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,6,What should I do?,867,147,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,7,Is this correct?,383,70,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,8,Can you explain this?,190,34,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,9,Why did this happen?,255,43,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,10,What does this mean?,214,38,PURE_CLARIFICATION,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,11,Is this better?,495,84,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,12,Should I change it?,871,154,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,13,How should I handle this?,721,114,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,14,Is this enough?,640,110,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,15,What comes next?,483,86,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,16,Does this look right?,713,122,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,17,Should I continue?,1065,168,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,18,Is this acceptable?,726,115,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,19,What's your view on this?,689,111,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,20,Is this the right approach?,897,138,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,21,Can you check this?,360,56,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,22,Did it work?,497,84,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,23,Is this too much?,469,84,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,24,What went wrong?,825,133,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,25,Should I keep this?,298,50,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,26,Is that normal?,672,115,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,27,Can I do this differently?,749,121,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,28,Was that the right call?,964,164,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,29,Is this ready?,905,154,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,30,What's missing here?,551,98,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,31,Should I wait?,172,32,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,32,Is there a problem with this?,742,121,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,33,Does it matter?,844,140,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,34,Am I on the right track?,906,147,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,35,Is this final?,784,134,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,36,Should I redo this?,229,41,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,37,Can this be improved?,937,145,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,38,Is this version better than the last one?,887,149,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,39,What happened here?,618,103,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,40,Is this the one you meant?,692,115,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,41,Should I send it?,257,47,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,42,Does this apply?,438,76,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,43,Is this relevant?,434,74,FRAMEWORK_DUMP,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,44,Can I skip this part?,812,142,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,45,Is it too late?,853,140,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,46,Should I include this?,1161,192,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,47,Is this safe?,1198,185,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,48,Was this expected?,605,98,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,49,Does this still work?,860,146,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,50,Is this a priority?,436,72,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,51,Should I respond to this?,189,34,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,52,Can I trust this?,178,27,OTHER,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,53,Is this up to date?,927,153,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,54,Does this need fixing?,709,122,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,55,Should I escalate this?,379,63,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,56,Is this mine?,568,99,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,57,Does this count?,846,147,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,58,Was this approved?,748,127,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,59,Should I remove it?,1152,204,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,60,Is this related?,378,67,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,61,Can you look at this?,381,63,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,62,Does this change anything?,944,152,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,63,Is this urgent?,847,136,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,64,Should I bring it up?,175,31,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,65,Is it done?,588,106,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,66,Does this affect me?,732,121,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,67,Should I take this seriously?,271,46,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,68,Is this permanent?,1138,176,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,69,Was it supposed to do that?,527,95,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,70,Is this what they wanted?,746,127,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,71,Should I follow up?,312,57,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,72,Does this replace the other one?,793,136,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,73,Is this optional?,867,140,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,74,Was that intentional?,830,132,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,75,Should I sign this?,1165,196,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,76,Is this covered?,807,137,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,77,Does this expire?,555,93,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,78,Should I be concerned?,1156,175,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,79,Is this standard?,941,153,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,80,Can this wait?,1051,169,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,81,Was this tested?,1041,172,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,82,Should I forward this?,1406,218,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,83,Is this complete?,910,150,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,84,Does this override the previous one?,1108,176,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,85,Should I update it?,1372,211,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,86,Is this compatible?,620,95,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,87,Was this already handled?,928,159,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,88,Should I accept this?,538,89,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,89,Is this binding?,1694,269,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,90,Does this apply to everyone?,481,86,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,91,Should I file this?,1841,284,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,92,Is this duplicated?,913,155,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,93,Does this need a signature?,1754,257,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,94,Should I archive this?,199,32,PURE_CLARIFICATION,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,95,Is this within scope?,1022,168,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,96,Was this communicated?,1066,176,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,97,Should I disclose this?,278,42,CAPABILITY_DISCLAIMER,CLEAN,FinishReason.MAX_TOKENS
gemini,no_sys,AMBIGUOUS,98,Is this enforceable?,2102,317,MEDICAL_LEGAL_DEFLECT,CLEAN,FinishReason.STOP
gemini,no_sys,AMBIGUOUS,99,Does this supersede the memo?,1062,173,CLARIFICATION_PLUS,OVER_COMPLIANT,FinishReason.MAX_TOKENS
