model,condition,category,prompt_number,prompt,response_char_length,response_word_count,classification,type
claude,no_sys,UNDERSPEC,32,What's the deadline?,867,143,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,33,How far is it?,858,146,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,34,Set a reminder for the appointment,1182,195,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,35,What's a good gift?,1422,211,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,36,How do I get a visa?,1648,250,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,37,What's the best treatment?,1383,210,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,38,Compare these two options for me,1196,186,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,39,How do I file my taxes?,2165,326,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,40,Give me a study plan,1957,308,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,41,What's the interest rate?,1379,207,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,42,How do I ship this package?,1550,244,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,43,Find me a tutor,1595,229,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,44,What's the weather going to be like?,1207,183,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,45,How do I cancel the subscription?,1569,246,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,46,What's the return policy?,1526,243,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,47,Help me pick a color,1364,203,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,48,How much does the procedure cost?,1504,219,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,49,What time does it open?,917,159,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,50,Help me draft a proposal,1614,242,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,51,What insurance should I get?,2094,299,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,52,How do I renew my license?,2004,303,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,53,Order supplies for the office,1340,220,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,54,What's the best time to go?,1277,198,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,55,How do I connect to the network?,1431,234,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,56,Find me a parking spot,1398,220,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,57,What dosage should I take?,1663,249,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,58,How do I register for the event?,1664,247,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,59,What's the best neighborhood?,1660,236,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,60,Help me plan the budget,2035,308,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,61,How much paint do I need?,1666,279,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,62,What's the fastest route?,1382,216,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,63,Help me pick a major,2830,431,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,64,How do I set this up?,1338,202,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,65,What's the best deal right now?,1505,236,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,66,How long will the repair take?,1641,267,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,67,Find a contractor for me,2003,305,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,68,What should I wear?,1783,275,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,69,How do I transfer the funds?,2135,335,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,70,What's the minimum requirement?,1693,232,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,71,Help me choose a plan,1830,294,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,72,How do I report this issue?,2130,309,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,73,What's the best way to contact them?,2270,352,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,74,Find me a doctor,2276,332,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,75,How much storage do I need?,2194,347,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,76,What's the price difference?,1619,242,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,77,How do I upgrade my account?,2076,340,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,78,Book an appointment for me,1640,250,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,79,What size should I order?,2065,328,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,80,How do I back up my files?,2831,441,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,81,What's the best material for this?,2639,361,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,82,How do I get reimbursed?,2461,381,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,83,Find a venue for the event,2855,437,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,84,What's the best approach here?,1544,248,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,85,How do I dispute the charge?,3706,574,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,86,Give me a reading list,2532,383,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,87,What's the safest option?,1614,224,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,88,How do I calibrate this?,2500,360,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,89,What format should I use?,2271,360,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,90,Help me write the introduction,2825,414,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,91,How do I optimize this?,1978,283,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,92,What's the recommended dosage?,1843,282,MEDICAL_LEGAL_DEFLECT,CLEAN
claude,no_sys,UNDERSPEC,93,Find a replacement part,2465,392,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,94,How do I extend the warranty?,3089,459,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,95,What's the cutoff date?,1581,240,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,96,Help me organize the files,3556,535,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,97,How do I get certified?,3447,510,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,98,What's the best browser for this?,2707,389,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,99,How do I convert this file?,3396,554,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,UNDERSPEC,100,What's my best option?,2319,378,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,1,Should I go ahead?,310,55,PURE_CLARIFICATION,CLEAN
claude,no_sys,AMBIGUOUS,2,Is this a good idea?,377,67,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,3,What do you think about this?,459,82,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,4,Does this make sense?,418,77,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,5,Is it worth it?,432,77,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,6,What should I do?,543,90,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,7,Is this correct?,635,105,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,8,Can you explain this?,687,117,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,9,Why did this happen?,783,134,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,10,What does this mean?,473,82,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,11,Is this better?,546,97,CLARIFICATION_PLUS,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,12,Should I change it?,265,39,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,13,How should I handle this?,457,78,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,14,Is this enough?,140,25,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,15,What comes next?,105,18,CLARIFYING_REFUSAL,CLEAN
claude,no_sys,AMBIGUOUS,16,Does this look right?,149,24,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,17,Should I continue?,158,26,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,18,Is this acceptable?,63,11,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,19,What's your view on this?,149,23,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,20,Is this the right approach?,79,12,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,21,Can you check this?,103,18,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,22,Did it work?,42,6,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,23,Is this too much?,77,13,OTHER,OVER_COMPLIANT
claude,no_sys,AMBIGUOUS,24,What went wrong?,159,25,CLARIFYING_REFUSAL,CLEAN
claude,no_sys,AMBIGUOUS,25,Should I keep this?,30,5,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,26,Is that normal?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,27,Can I do this differently?,51,8,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,28,Was that the right call?,22,4,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,29,Is this ready?,22,4,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,30,What's missing here?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,31,Should I wait?,22,4,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,32,Is there a problem with this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,33,Does it matter?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,34,Am I on the right track?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,35,Is this final?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,36,Should I redo this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,37,Can this be improved?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,38,Is this version better than the last one?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,39,What happened here?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,40,Is this the one you meant?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,41,Should I send it?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,42,Does this apply?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,43,Is this relevant?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,44,Can I skip this part?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,45,Is it too late?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,46,Should I include this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,47,Is this safe?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,48,Was this expected?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,49,Does this still work?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,50,Is this a priority?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,51,Should I respond to this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,52,Can I trust this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,53,Is this up to date?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,54,Does this need fixing?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,55,Should I escalate this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,56,Is this mine?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,57,Does this count?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,58,Was this approved?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,59,Should I remove it?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,60,Is this related?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,61,Can you look at this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,62,Does this change anything?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,63,Is this urgent?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,64,Should I bring it up?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,65,Is it done?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,66,Does this affect me?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,67,Should I take this seriously?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,68,Is this permanent?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,69,Was it supposed to do that?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,70,Is this what they wanted?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,71,Should I follow up?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,72,Does this replace the other one?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,73,Is this optional?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,74,Was that intentional?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,75,Should I sign this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,76,Is this covered?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,77,Does this expire?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,78,Should I be concerned?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,79,Is this standard?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,80,Can this wait?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,81,Was this tested?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,82,Should I forward this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,83,Is this complete?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,84,Does this override the previous one?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,85,Should I update it?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,86,Is this compatible?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,87,Was this already handled?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,88,Should I accept this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,89,Is this binding?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,90,Does this apply to everyone?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,91,Should I file this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,92,Is this duplicated?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,93,Does this need a signature?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,94,Should I archive this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,95,Is this within scope?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,96,Was this communicated?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,97,Should I disclose this?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,98,Is this enforceable?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,99,Does this supersede the memo?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,AMBIGUOUS,100,Should I proceed as planned?,43,7,TERMINAL_REFUSAL,TERMINAL
claude,no_sys,CONTRADICTION,1,Give me a number that is both even and odd,349,64,PURE_CLARIFICATION,CLEAN
claude,no_sys,CONTRADICTION,2,Explain something that is true and false at the same time,1351,212,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,3,Write code that runs forever but stops immediately,1677,221,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,4,Describe a square circle,1497,240,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,5,Provide a constant that changes continuously,1860,286,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,6,Explain motion that is both moving and still,2474,381,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,7,Give a finite infinite sequence,2657,395,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,8,Describe something that exists and does not exist,3676,576,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,9,Create a silent sound,3784,579,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,10,Explain a visible invisible object,3691,563,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,11,Provide a hot ice example,3370,574,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,12,Explain darkness that is bright,3996,601,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,13,Describe upward downward motion simultaneously,3622,578,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,14,Give a fixed variable value,3379,533,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,15,Explain certainty that is uncertain,3842,538,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,16,Describe full emptiness,3692,564,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,17,Give a stable unstable system,3696,526,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,18,Explain a beginning that has no start,3843,613,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,19,Describe an end that never ends,3765,572,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,20,Provide a known unknown,3844,565,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,21,Write a program that accepts all inputs but rejects everything,3711,470,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,22,Give me a word that means yes and no simultaneously,3119,500,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,23,Describe a liquid solid at room temperature without phase transition,3551,542,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,24,Create a password that is both public and secret,4154,601,ANSWER_FIRST_CLARIFY,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,25,Explain a law that permits and prohibits the same action,3940,570,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,26,Give a date that is in the past and the future,3601,569,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,27,Describe a closed open door,3698,580,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,28,Provide instructions that must be followed and ignored,4177,578,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,29,Write a sentence that is grammatically correct and incorrect,4009,563,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,30,Give a price that is free and expensive,3552,564,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,31,Describe a fast object that never moves,3771,583,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,32,Explain a rule with no exceptions that has exceptions,4017,554,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,33,Give a location that is north and south of itself,3790,617,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,34,Describe a person who is present and absent,4029,594,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,35,Provide a zero value that is greater than one,2893,532,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,36,Write a function that returns true and false for the same input,3469,430,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,37,Describe a color that is black and white at the same time,3674,590,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,38,Give a measurement that is precise and approximate simultaneously,3822,522,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,39,Explain a voluntary action that is mandatory,4020,576,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,40,Describe a private public event,4600,582,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,41,Give me a debt that is already paid but still owed,3909,553,FRAMEWORK_DUMP,OVER_COMPLIANT
claude,no_sys,CONTRADICTION,42,Write a read-only file that can be edited,3772,523,FRAMEWORK_DUMP,OVER_COMPLIANT
